@relation test
@attribute tweet string
@attribute user string
@attribute timestamp numeric
@attribute lat real
@attribute lon real
@data' vohisinha  maandoks o sutiã q eu usei na festa fantasia la era mais tenso q esse HEIUEIUEHEHUIEUIHE', 'Netao   ', 1297718174000, -0.3917125290843032, -47.2451
' smh AllaaatASS Hustle Hard Freestyle -Mr. Harvey http   www.youtube.com watch?v=C0evb66Lqbg RETWEET IF YOU LIKE!', 'mrharvey93', 1297718190000, 0.5845484869989355, -78.5409
' TundeTundz I feel sorry for them cause when people find out they re gay they ll die!', 'GezzaMclovin', 1297718191000, 0.7790885590745837, 0.937215
'  rebecasouza entendo...  D o bom msm é q n deixará de doar por conta disso!! e a pessoa q causou isso ja foi punida', 'nieciamlm', 1297718192000, -0.14189557461888283, -35.0198
'0"9 de seeing ! Ya llevamos 5 objetos (Ayer nos quedamos en 3...).', 'evolynuc', 1297718192000, 0.47796536432675824, -17.9259
'que menino idiota ¬¬', 'mirelladesouzaa', 1297718193000, -0.35726460154845635, -49.4634
'They said he a popular teen  i never herd of em', 'TheBasedJesus', 1297718193000, 0.631099683637581, -76.6447
' 4everURsGaga and asks how come im wearing a gaga shirt? I say because valentines day is supposed to be about love! And I love ladygaga. She', 'GagasPlayThing', 1297718194000, 0.6481438018928599, -74.0504
'#Padaria', 'WashingtonHenry', 1297718194000, -0.4074572077806172, -46.3256
'OH  if you know all names of everybody  you don t go fast enough #MWC', 'vangeest', 1297718194000, 0.660975311833735, 2.1701
'gonna have to drive to rochester straight from my interview thursday. fingers crossed on that piece of shit car.', 'MattyRenn', 1297718194000, 0.6976016758780352, -72.6126
'Zenti  que que é issú?', 'helenavianna ', 1297718195000, -0.5269691381815212, -52.6124
' SlobberyBoy O muleque mais bosta de Niterói  mas por outras razões. Então fica tranquilo.', 'Isr89', 1297718195000, -0.39206418574570806, -43.7952
' DenyingBeauty if there s a time when we can go up on the stage tomorrow  shall we?', 'CohKnee', 1297718195000, 0.7751727972968964, -3.09214
' AnnaaSoares owwwnt *---* mas tenho certesa qe vc nao sorri mais por falta de  selenawolf. Brics q deve ser por causa de macho pt13453235313', 'selenawolf ', 1297718196000, -0.39434292664464066, -47.3048
' austingunter Yeah they covered all the songs in John Hughes movies that were made by others', 'JimEngland', 1297718196000, 0.5014911008698354, -97.9383
'Mientras canta #SergioDalma en #otlive me quito los auriculaes y me entrego a #elbarco ...xD', 'Alba Bellisario', 1297718196000, 0.6858704299629479, -8.38465
'I m at Frank Dining Hall - Colgate University (13 Oak Drive  Hamilton) http   4sq.com eAvasP', 'BourneToRun', 1297718198000, 0.6795923762925205, -75.573
'RT    Capricho http   kingo.to tnP', 'fernandadd', 1297718198000, -0.5269691381815212, -52.6124
' Kotemotta verdade. Tipo... dois caras  um atrás do outro. E  depois de um ponto  três caras  do mesmo jeito. Isso é putaria e eu não curto.', 'jimmyandrade', 1297718198000, -0.34300070731910987, -44.0628
'http   29.media.tumblr.com tumblr lgh0lgld2y1qgseddo1 500.jpg tem que casar comigo  sem mais ?', 'iza romero', 1297718199000, -0.403799201659705, -46.5673
'To cuidando com o maior amor - http   games.adultswim.com hemp-tycoon-puzzle-online-game.html', 'Gabrilis', 1297718199000, -0.40687695686431635, -46.826
' Jamaal323 damn  everytime i refresh the page you have more followers lmao I need to get me some followers lol', 'Greg 123', 1297718199000, 0.6834661913249949, -76.1576
' Amalianda  gioco per giocare nn per vincere  in realtà sarebbe interessante scoprire la statistica inversa  l uomo abbaia ? e se sì quando?', 'superfuffa', 1297718199000, 0.7528378131580558, 2.33662
'Na boa... alguém tem q pagar bem às moças da C&A pq putaqopariu!! Fui abordado por QUATRO delas p fazer cartão!! Elas pensam q eu sou rico?!', 'renatorn', 1297718200000, -0.10275312540808748, -35.2912
' raquellbrum sim sim  mas a laís não', 'gabrielated', 1297718200000, -0.4549404074626524, -48.6775
' ikaaaaaaaaaa  elmielmo  Kahi Low elmienot sengaja typo.', 'Khai Low', 1297718200000, 0.05198283220729594, 101.577
'Which one am I?    Vancouver Art Gallery http   instagr.am p Bm2Bi ', 'Cara Rouge', 1297718200000, 0.7578349372219289, -123.132
